x,Curve1,Curve2,Curve3
"350,512","383,64","232,62","85,718"
"351,544","381,39","230,5","84,927"
"352,009","380,38","229,54","84,568"
"360,005","361,37","213,71","79,493"
"363,539","351,8",207,"77,894"
"365,304","346,81","203,71","77,142"
"372,997","324,68","189,99","73,762"
"378,733","309,01","180,52","70,747"
"386,19","290,48","169,64","67,115"
"391,926","277,76","162,66","64,823"
"392,291",277,"162,25","64,685"
"408,717","246,68","145,14","58,67"
"409,576","245,26","144,24","58,351"
"421,511","226,6","130,77","53,855"
"425,073","221,27","126,92","52,529"
"433,362","208,59","118,73","49,585"
"438,303","201,21","114,424","48,083"
"446,954","189,17","108,406","46,01"
"451,095","183,74","105,827","45,027"
"453,858","180,23","104,044","44,373"
"467,286","164,23","95,048","41,286"
"471,338","159,71","92,166","40,397"
"479,68","150,83","86,2","38,603"
"483,53","146,91","83,676","37,729"
"497,871","133,23","75,426","34,591"
"508,315","124,13","70,891","32,483"
"510,463","122,34","69,987","32,076"
"519,908","114,787","65,843","30,437"
"528,453","108,387","62,045","28,975"
"540,246","100,185","57,382","27,048"
"543,008","98,365","56,621","26,614"
"545,092","97,017","56,075","26,291"
"557,883","89,198","52,711","24,636"
"560,033","87,96","52,048","24,407"
"572,227","81,328","47,049","23,159"
"583,865","75,588","43,876","22,059"
"594,257","70,901","41,397","21,147"
"603,208","67,158","39,34","20,159"
"619,441","60,963","35,618","18,446"
"624,959","59,009","34,4","17,899"
"633,789","56,027","32,572","17,067"
"657,016","48,934","28,537","15,176"
"664,97","46,73","27,324","14,632"
"695,95","39,096","23,072","12,818"
"695,988","39,088","23,067","12,816"
"726,73","32,804","19,481","11,1589"
"732,562","31,739","18,853","10,8585"
"740,287","30,384","18,057","10,471"
"756,311","27,774","16,611","9,7126"
"770,935","25,611","15,533","9,0807"
"788,688","23,244","14,304","8,39"
"809,508","20,785","12,732","7,6437"
"817,87","19,882","12,1167","7,3534"
"825,632","19,082","11,5858","7,0918"
"846,682","17,08","10,3693","6,455"
"850,248","16,763","10,198","6,3611"
"881,626","14,236","8,9551","5,6431"
"884,653","14,015","8,8342","5,5773"
"912,205","12,1715","7,6859","4,9808"
"919,77","11,7151","7,3903","4,8222"
"925,224","11,3986","7,1885","4,7103"
"943,983","10,3857","6,5752","4,3443"
"961,797","9,5217","6,0994","4,0301"
"975,96","8,8941","5,7551","3,8055"
"998,744","7,9778","5,1866","3,4792"
"999,316","7,9561","5,1724","3,4715"
"999,37","7,9541","5,171","3,4707"
