#run_name            mass#6000055         v1params#1           cross                width#6000055        
run_01               1.000000e+03         0.000000e+00         3.568149e-03         3.625514e+01         
run_02               1.000000e+03         7.853982e-01         1.714691e-03         3.957096e+01         
run_03               1.000000e+03         1.570796e+00         3.866633e-05         3.625515e+01         
run_04               1.000000e+03         2.356194e+00         1.897445e-03         3.293933e+01         
run_05               1.000000e+03         3.141593e+00         3.590055e-03         3.625515e+01         
run_06               1.250000e+03         0.000000e+00         1.195605e-03         4.691014e+01         
run_07               1.250000e+03         7.853982e-01         5.809899e-04         4.962612e+01         
run_08               1.250000e+03         1.570796e+00         9.503234e-06         4.691014e+01         
run_09               1.250000e+03         2.356194e+00         6.237017e-04         4.419416e+01         
run_10               1.250000e+03         3.141593e+00         1.199190e-03         4.691014e+01         
run_11               1.500000e+03         0.000000e+00         4.439011e-04         5.732860e+01         
run_12               1.500000e+03         7.853982e-01         2.158967e-04         5.962008e+01         
run_13               1.500000e+03         1.570796e+00         2.746567e-06         5.732860e+01         
run_14               1.500000e+03         2.356194e+00         2.309476e-04         5.503713e+01         
run_15               1.500000e+03         3.141593e+00         4.461904e-04         5.732860e+01         
run_16               2.000000e+03         0.000000e+00         7.383924e-05         7.781174e+01         
run_17               2.000000e+03         7.853982e-01         3.628888e-05         7.955109e+01         
run_18               2.000000e+03         1.570796e+00         3.119848e-07         7.781174e+01         
run_19               2.000000e+03         2.356194e+00         3.815492e-05         7.607239e+01         
run_20               2.000000e+03         3.141593e+00         7.400680e-05         7.781174e+01         
run_21               2.500000e+03         0.000000e+00         1.475560e-05         9.805929e+01         
run_22               2.500000e+03         7.853982e-01         7.293963e-06         9.945838e+01         
run_23               2.500000e+03         1.570796e+00         4.727748e-08         9.805929e+01         
run_24               2.500000e+03         2.356194e+00         7.523750e-06         9.666019e+01         
run_25               2.500000e+03         3.141593e+00         1.469065e-05         9.805929e+01         
run_26               3.000000e+03         0.000000e+00         3.329453e-06         1.181891e+02         
run_27               3.000000e+03         7.853982e-01         1.650839e-06         1.193584e+02         
run_28               3.000000e+03         1.570796e+00         8.871324e-09         1.181891e+02         
run_29               3.000000e+03         2.356194e+00         1.680734e-06         1.170197e+02         
run_30               3.000000e+03         3.141593e+00         3.333232e-06         1.181891e+02         
