#run_name            mass#6000055         v1params#1           cross                width#6000055        
run_01               1.000000e+03         0.000000e+00         3.199745e-03         3.625514e+01         
run_02               1.000000e+03         7.853982e-01         1.638223e-03         3.957096e+01         
run_03               1.000000e+03         1.570796e+00         1.217314e-04         3.625515e+01         
run_04               1.000000e+03         2.356194e+00         1.694547e-03         3.293933e+01         
run_05               1.000000e+03         3.141593e+00         3.213570e-03         3.625515e+01         
run_06               1.250000e+03         0.000000e+00         1.202065e-03         4.691014e+01         
run_07               1.250000e+03         7.853982e-01         6.163806e-04         4.962612e+01         
run_08               1.250000e+03         1.570796e+00         3.529419e-05         4.691014e+01         
run_09               1.250000e+03         2.356194e+00         6.318886e-04         4.419416e+01         
run_10               1.250000e+03         3.141593e+00         1.210052e-03         4.691014e+01         
run_11               1.500000e+03         0.000000e+00         4.908850e-04         5.732860e+01         
run_12               1.500000e+03         7.853982e-01         2.496539e-04         5.962008e+01         
run_13               1.500000e+03         1.570796e+00         1.142601e-05         5.732860e+01         
run_14               1.500000e+03         2.356194e+00         2.546647e-04         5.503713e+01         
run_15               1.500000e+03         3.141593e+00         4.898462e-04         5.732860e+01         
run_16               2.000000e+03         0.000000e+00         9.319670e-05         7.781174e+01         
run_17               2.000000e+03         7.853982e-01         4.715541e-05         7.955109e+01         
run_18               2.000000e+03         1.570796e+00         1.539979e-06         7.781174e+01         
run_19               2.000000e+03         2.356194e+00         4.725491e-05         7.607239e+01         
run_20               2.000000e+03         3.141593e+00         9.305930e-05         7.781174e+01         
run_21               2.500000e+03         0.000000e+00         2.002972e-05         9.805929e+01         
run_22               2.500000e+03         7.853982e-01         1.019962e-05         9.945838e+01         
run_23               2.500000e+03         1.570796e+00         2.571472e-07         9.805929e+01         
run_24               2.500000e+03         2.356194e+00         1.014869e-05         9.666019e+01         
run_25               2.500000e+03         3.141593e+00         2.008895e-05         9.805929e+01         
run_26               3.000000e+03         0.000000e+00         4.748032e-06         1.181891e+02         
run_27               3.000000e+03         7.853982e-01         2.415946e-06         1.193584e+02         
run_28               3.000000e+03         1.570796e+00         5.122693e-08         1.181891e+02         
run_29               3.000000e+03         2.356194e+00         2.394624e-06         1.170197e+02         
run_30               3.000000e+03         3.141593e+00         4.744151e-06         1.181891e+02         
