#run_name            v0params#1           cross                width#6000055        
run_01               0.0000000000         0.0000000000         0.0000000000         
run_01               1.000000e-01         4.236788e-06         5.962008e-01         
run_02               2.000000e-01         1.693858e-05         2.384803e+00         
run_03               3.000000e-01         3.808568e-05         5.365807e+00         
run_04               4.000000e-01         6.772050e-05         9.539212e+00         
run_05               5.000000e-01         1.061499e-04         1.490502e+01         
run_06               7.500000e-01         2.432095e-04         3.353629e+01         
run_07               1.000000e+00         4.533662e-04         5.962008e+01         
run_08               2.000000e+00         2.152085e-03         2.384803e+02         
run_09               3.000000e+00         5.348276e-03         5.365807e+02         
run_10               4.000000e+00         9.421416e-03         9.539212e+02         
run_11               5.000000e+00         1.280556e-02         1.490502e+03         
run_12               6.000000e+00         1.507945e-02         2.146323e+03         
run_13               7.000000e+00         1.658015e-02         2.921384e+03         
run_14               8.000000e+00         1.735765e-02         3.815685e+03         
run_15               9.000000e+00         1.791572e-02         4.829226e+03         
run_16               1.000000e+01         1.809744e-02         5.962008e+03         
