#run_name            mass#6000055         v1params#1           cross                width#6000055        
run_01               1.000000e+03         0.000000e+00         4.047022e-03         3.625514e+01         
run_02               1.000000e+03         7.853982e-01         4.008866e-03         3.957096e+01         
run_03               1.000000e+03         1.570796e+00         4.021598e-03         3.625515e+01         
run_04               1.000000e+03         2.356194e+00         4.036192e-03         3.293933e+01         
run_05               1.000000e+03         3.141593e+00         4.013760e-03         3.625515e+01         
run_06               1.250000e+03         0.000000e+00         1.286962e-03         4.691014e+01         
run_07               1.250000e+03         7.853982e-01         1.280671e-03         4.962612e+01         
run_08               1.250000e+03         1.570796e+00         1.288844e-03         4.691014e+01         
run_09               1.250000e+03         2.356194e+00         1.298172e-03         4.419416e+01         
run_10               1.250000e+03         3.141593e+00         1.287015e-03         4.691014e+01         
run_11               1.500000e+03         0.000000e+00         4.577320e-04         5.732860e+01         
run_12               1.500000e+03         7.853982e-01         4.542634e-04         5.962008e+01         
run_13               1.500000e+03         1.570796e+00         4.569718e-04         5.732860e+01         
run_14               1.500000e+03         2.356194e+00         4.593487e-04         5.503713e+01         
run_15               1.500000e+03         3.141593e+00         4.559734e-04         5.732860e+01         
run_16               2.000000e+03         0.000000e+00         7.139873e-05         7.781174e+01         
run_17               2.000000e+03         7.853982e-01         7.063531e-05         7.955109e+01         
run_18               2.000000e+03         1.570796e+00         7.127384e-05         7.781174e+01         
run_19               2.000000e+03         2.356194e+00         7.169766e-05         7.607239e+01         
run_20               2.000000e+03         3.141593e+00         7.093226e-05         7.781174e+01         
run_21               2.500000e+03         0.000000e+00         1.351991e-05         9.805929e+01         
run_22               2.500000e+03         7.853982e-01         1.350208e-05         9.945838e+01         
run_23               2.500000e+03         1.570796e+00         1.353382e-05         9.805929e+01         
run_24               2.500000e+03         2.356194e+00         1.370155e-05         9.666019e+01         
run_25               2.500000e+03         3.141593e+00         1.354493e-05         9.805929e+01         
run_26               3.000000e+03         0.000000e+00         2.977826e-06         1.181891e+02         
run_27               3.000000e+03         7.853982e-01         2.960909e-06         1.193584e+02         
run_28               3.000000e+03         1.570796e+00         2.979207e-06         1.181891e+02         
run_29               3.000000e+03         2.356194e+00         3.001372e-06         1.170197e+02         
run_30               3.000000e+03         3.141593e+00         2.974126e-06         1.181891e+02         
